Profil,Disponibilité,Lieu_de_recherche,Points_forts,Compétence,Expérience,Contrat,Metier_regroupe,Experience_mois,Departement,candidat_id
Data Analyst,immédiate,02 - LAON,Langages de programmation informatique Modélisation et simulation Modélisation statistique Réaliser un modèle de prévision Anglais,Big data Analytics Avancé Langages de programmation informatique Avancé Modélisation et simulation Avancé Modélisation statistique Avancé,Data analyst AVANTY PARIS 3 Ans,CDD-alternance,Data Analyst,36.0,02,51
Data Analyst,immédiate,59 - LILLE,php CSS HTML Suite bureautique LibreOffice Anglais,Adobe Première Pro CMS Système de gestion de contenu Joomla CSS HTML Microsoft Excel Suite bureautique LibreOffice,Stage Informatique chez DBCOM DBCOM 1 Ans,CDD-alternance,Data Analyst,12.0,59,52
Silvère Gangloff | Data Scientist,immédiate,33 - BORDEAUX,Faire preuve dautonomie Faire preuve de persévérance Algorithmique Logique mathématique Programmation en Python,Algorithmique Avancé Application des méthodes de machine learning dans BI Avancé Langages de programmation informatique Avancé Logique mathématique Avancé Modélisation statistique Intermédiaire Programmation en JavaScript Avancé Programmation en Python Avancé Statistiques appliquées Intermédiaire Système dexploitation Unix Avancé,Data scientist OSE Engineering Carbonne HauteGaronne France Domicile 3 Ans,CDI,Data Scientist,36.0,33,53
De Data Analyst Junior à Data Analyst Senior,immédiate,44 - NANTES,Adapter les outils de traitement statistique de données Analyser les tendances de consommation des clients Assister une structure dans linterprétation et lanalyse dune étude Business Intelligence BI Informatique décisionnelle,Algorithmique Avancé Big data Analytics Avancé Business Intelligence BI Informatique décisionnelle Avancé Conception et analyse denquête Intermédiaire Logiciels de gestion de base de données Avancé Sciences économiques et sociales Utilisation de logiciels statistiques Avancé,Licence Informatique Générale Bac3 Bac4 ou équivalents 2 Ans,CDD-alternance,Data Analyst,24.0,44,54
Data Engineer | Computer Vision & Machine Learning Engineer | 6 years experience,immédiate,21 - DIJON,Anglais Français B Véhicule léger,Analyser exploiter structurer des données Déterminer et développer les méthodes de recherche de recueil et danalyse de données,DATA ANALYST AVEC INVEST IN DIGITAL PEOPLE Bac5 et plus ou équivalents 1 Ans,CDD-alternance,Data Engineer,12.0,21,55
A la recherche d'une opportunité dans la Data,immédiate,18 - BOURGES,Programmation en Python,Algorithmique Intermédiaire Gestion de bases de données NoSQL Intermédiaire GitHub Débutant Langages de programmation informatique Modélisation et simulation Modélisation statistique Programmation en Python Avancé Système dexploitation Unix Intermédiaire,Simulation du modèle dIsing avec des algorithmes de type Monte Carlo par chaînes de Markov Inria hébergée par lÉcole normale supérieure de Lyon LyonCette Expérience contient une pièce jointe 2 Ans,CDD,Autre,24.0,18,56
Recherche première expérience en data analyse,immédiate,68 - MULHOUSE,Mettre en place des outils daide à la décision Réaliser un modèle de prévision Anglais Espagnol,Anglais financier Avancé Big data Analytics Mathématiques financières Avancé,Développeur en intelligence artificielle Data ScienceDéveloppeur en intelligence artifici Bac3 Bac4 ou équivalentsCette Formation contient une pièce jointe 2 Ans,CDD,Autre,24.0,68,57
Data Analyst avec expérience,immédiate,75 - PARIS 18,Langages de programmation informatique Logiciels de gestion de base de données Français Anglais,Big data Analytics Business Intelligence BI Informatique décisionnelle Langages de programmation informatique Logiciels de gestion de base de données,Master en Machine Intelligence Bac5 et plus ou équivalents 3 Ans,Intérim,Data Analyst,36.0,75,58
Data Analyst,immédiate,31 - TOULOUSE,Faire preuve de curiosité Organiser son travail selon les priorités et les objectifs Travailler en équipe C Python PHP Shell HTML CSS XML SQL MySQL PL SQL ORACLE,,MASTERE EN INTELLIGENCE ARTIFICIEL ET DIGITAL MANAGER Bac5 et plus ou équivalents 3 Ans,CDI,Data Analyst,36.0,31,59
Data analyste/ Data ingénieur,immédiate,64 - PAU,Compétence validée par 1 employeur Réaliser une étude Compétence validée par 1 employeur Adapter les outils de traitement statistique de données Compétence validée par 1 employeur Communiquer les résultats des études aux parties prenantes Gestion de bases de données NoSQL,Analyse de données expérimentales Intermédiaire Anglais technique Intermédiaire Business Intelligence BI Informatique décisionnelle Intermédiaire Déploiement de services cloud cloud computing Débutant Échange de Données Informatisées EDI Débutant Gestion de bases de données NoSQL Avancé GitLab Intermédiaire Langages de programmation informatique Intermédiaire Logiciels de gestion de base de données Intermédiaire Microsoft Access Avancé Microsoft Excel Avancé Progiciel de gestion SAP Intermédiaire Programmation en Python Avancé Relation à lenfant ou ladolescent Sciences économiques et sociales Intermédiaire,DATA engineer Open Groupe Grenoble Isère 3 Ans,CDD,Data Analyst,36.0,64,60
Data Scientist - Docteurs en Sciences du Sport,immédiate,17 - LA ROCHELLE,,Adapter les outils de traitement statistique de données Analyser traiter linformation à des fins danticipation Comprendre interpréter des données et documents techniques Définir et faire évoluer des procédés de traitement de linformation Déterminer et développer les méthodes de recherche de recueil et danalyse de données Déterminer lopportunité de lintégration doutils IAData Science dans le modèle daffaires Lire et interpréter des données et documents techniques au besoin en anglais Mobiliser des données massives pour éclairer les prises de décisions Paramétrer un logiciel un outil un système numérique Réaliser un modèle de prévision,Certification professionnelle « Expert en data science » de niveau 7 bac 5 Bac5 et plus ou équivalents 3 Ans,CDI,Data Scientist,36.0,17,61
Chef de projet -  data manager,immédiate,67 - STRASBOURG,Renseigner mettre à jour une documentation technique Structurer synthétiser des informations Animer coordonner une équipe Concevoir un logiciel un système dinformations une application Anglais,Concevoir une application web Intermédiaire Concevoir un logiciel un système dinformations une application Avancé Déployer intégrer un logiciel un système dinformations une application Débutant Intégrer des outils IAData Science Débutant Procéder aux phases de tests et de recettes des applications développées Renseigner mettre à jour une documentation technique Intermédiaire,Certificat Gestion de Projet Cette Formation contient une pièce jointe 5 Ans,CDD,Chef de projet/Scrum Master,60.0,67,62
Looking for a job in IT sector as a Data Scientist.,immédiate,54 - NANCY,Anglais Hindi,Adapter les outils de traitement statistique de données Déterminer lopportunité de lintégration doutils IAData Science dans le modèle daffaires,Savoirs Essentiels Conseil Régional de Normandie 3 Ans,CDI,Data Scientist,36.0,54,63
Data Analyst à la recherche d'une opportunité,immédiate,76 - ROUEN,,Big data Analytics Business Intelligence BI Informatique décisionnelle Insights marketing Langages de programmation informatique Maitrise statistique du processus MSP Avancé Modélisation et simulation Sécurité physique des datacenters Avancé Systèmes de gestion de base de données Intermédiaire,Data Analyst 3 Ans,CDD-alternance,Data Analyst,36.0,76,64
Data Analyst experte Visualisation,immédiate,44 - NANTES,Gérer et maitriser des bases de données SQLNoSQL Power BI Programmation en Python programmation R Suite bureautique LibreOffice,Analyse de données de recherche Intermédiaire Big Data Débutant Développement de tableaux de bord Intermédiaire GitLab Débutant PLSQL Intermédiaire Programmation en Python Intermédiaire Suite bureautique LibreOffice Intermédiaire,Ingenierie Informatique Bac5 et plus ou équivalents 3 Ans,CDD,Data Analyst,36.0,44,65
"Jeune diplômée d'une école d'ingénieur avec une spécialisation en intelligence artificielle, à la recherche d'opportunités en IA, data et machine learning.",immédiate,21 - DIJON,,CSS Intermédiaire Déploiement de services cloud cloud computing Intermédiaire Gestion de bases de données NoSQL Intermédiaire GitHub Intermédiaire Langage C Intermédiaire Programmation en JavaScript Intermédiaire,CONSULTANTE WAVESTONE Puteaux 3 Ans,CDD-alternance,Autre,36.0,21,66
Data Analyst passionné par l'analyse de données et en transition de carrière,immédiate,49 - ANGERS,Gérer et maitriser des bases de données SQLNoSQL Méthodes et outils de résolution de problèmes Maîtrise du pack Office Word Excel Outlook PowerPoint Microsoft Excel Anglais,Business Intelligence BI Informatique décisionnelle Débutant Données dactivité de la structure du service Débutant Entretien des espaces verts Débutant Gestion des budgets hôteliers Débutant Intelligence artificielle Débutant Logiciels de gestion de base de données Débutant Maîtrise du pack Office Word Excel Outlook PowerPoint Intermédiaire Méthodes et outils de résolution de problèmes Débutant Microsoft Excel Intermédiaire Modes de paiement Intermédiaire Programmation en Python Débutant Utilisation de logiciels de gestion hôtelière Débutant Utilisation de logiciels de réservation Débutant,Google Data Analytics Professionnal Certificate Bac ou équivalent 2 Ans,CDD-alternance,Data Analyst,24.0,49,67
Ingénieur Data analyst,immédiate,69 - LYON,,Concevoir des supports et outils pédagogiques matériel pédagogique logiciel éducatif sujet dexamen Avancé Concevoir lingénierie de formation et les séquences pédagogiques Avancé Conseiller des apprenants dans lorganisation de leur travail personnel Avancé Définir la progression pédagogique Avancé Développer une démarche pédagogique pour lenseignement des savoirs fondamentaux Avancé Développer un projet pédagogique Avancé Enseigner transmettre des connaissances développer des compétences Avancé Organiser des évaluations de connaissances et de compétences des examens Avancé Renseigner des supports dévaluation scolaire Avancé,HR Data Analyst SNCF Voyageurs SaintDenis 5 Ans,CDD,Data Analyst,60.0,69,68
Reconversion Data,immédiate,67 - STRASBOURG,Élaborer une stratégie commerciale Coordonner les équipes de développement pour respecter les délais Indicateurs de performance ICP KPI Programmation en Python Anglais,Analyse des besoins des clients Analyse numérique Logiciel de traitement de texte Intermédiaire Matchmover Microsoft Excel Microsoft PowerPoint Nuke Professionnel SPSS Programmation en Python Suite bureautique LibreOffice Techniques dexploration de données data mining Utilisation de logiciels de tableur Intermédiaire Webmarketing,Data Scientest Analyse de la consommation dénergie et risque de blackout 4 Ans,CDD-alternance,Autre,48.0,67,69
Data Scientist,immédiate,75 - PARIS 01,Adapter les outils de traitement statistique de données Communiquer les résultats des études aux parties prenantes Définir et faire évoluer des procédés de traitement de linformation Anglais Français,Algorithmique Avancé Analyse de données expérimentales Avancé Programmation en Python Avancé Utilisation de logiciels statistiques Avancé,Doctorat Bac5 et plus ou équivalents 2 Ans,CDD,Data Scientist,24.0,75,70
